Location;Color;Quantity in Pounds at Classifier;Size;Flavor;Quantity in Pounds At Pre-finish Operations;Packaging Type;Quantity in Pounds At Pack Operations
Detroit;Coloring Agent10;305931;S1;F1;5343;Bag;5343
Detroit;Coloring Agent10;305931;S1;F10;8688;Bag;7338
Detroit;Coloring Agent10;305931;S1;F10;8688;Box;1350
Detroit;Coloring Agent10;305931;S1;F11;2953;Bag;2953
Detroit;Coloring Agent10;305931;S1;F12;4790;Bag;4790
Detroit;Coloring Agent10;305931;S1;F2;1913;Bag;1913
Detroit;Coloring Agent10;305931;S1;F4;2045;Bag;443
Detroit;Coloring Agent10;305931;S1;F4;2045;Box;1602
Detroit;Coloring Agent10;305931;S1;F6;1302;Bag;1302
Detroit;Coloring Agent10;305931;S1;F7;5457;Bag;5457
Detroit;Coloring Agent10;305931;S1;F8;8744;Bag;7379
Detroit;Coloring Agent10;305931;S1;F8;8744;Box;1365
Detroit;Coloring Agent10;305931;S1;F9;3753;Bag;3753
Detroit;Coloring Agent10;305931;S2;F1;3516;Bag;1698
Detroit;Coloring Agent10;305931;S2;F1;3516;Box;1818
Detroit;Coloring Agent10;305931;S2;F10;14722;Bag;14722
Detroit;Coloring Agent10;305931;S2;F11;3598;Bag;3598
Detroit;Coloring Agent10;305931;S2;F12;2062;Bag;2062
Detroit;Coloring Agent10;305931;S2;F2;7391;Bag;7391
Detroit;Coloring Agent10;305931;S2;F3;2106;Bag;2106
Detroit;Coloring Agent10;305931;S2;F4;1478;Box;1478
Detroit;Coloring Agent10;305931;S2;F5;20212;Bag;20212
Detroit;Coloring Agent10;305931;S2;F6;8017;Bag;6237
Detroit;Coloring Agent10;305931;S2;F6;8017;Box;1780
Detroit;Coloring Agent10;305931;S2;F7;2036;Bag;2036
Detroit;Coloring Agent10;305931;S2;F8;15608;Bag;13580
Detroit;Coloring Agent10;305931;S2;F8;15608;Box;2028
Detroit;Coloring Agent10;305931;S2;F9;3243;Bag;1758
Detroit;Coloring Agent10;305931;S2;F9;3243;Box;1485
Detroit;Coloring Agent10;305931;S3;F1;3856;Bag;1941
Detroit;Coloring Agent10;305931;S3;F1;3856;Box;1915
Detroit;Coloring Agent10;305931;S3;F10;12232;Bag;12232
Detroit;Coloring Agent10;305931;S3;F11;5357;Bag;3852
Detroit;Coloring Agent10;305931;S3;F11;5357;Box;1505
Detroit;Coloring Agent10;305931;S3;F12;4551;Bag;3053
Detroit;Coloring Agent10;305931;S3;F12;4551;Box;1498
Detroit;Coloring Agent10;305931;S3;F3;2013;Bag;2013
Detroit;Coloring Agent10;305931;S3;F4;2150;Box;2150
Detroit;Coloring Agent10;305931;S3;F5;17227;Bag;15449
Detroit;Coloring Agent10;305931;S3;F5;17227;Box;1778
Detroit;Coloring Agent10;305931;S3;F6;7490;Bag;7490
Detroit;Coloring Agent10;305931;S3;F7;3481;Bag;3481
Detroit;Coloring Agent10;305931;S3;F8;14283;Bag;12338
Detroit;Coloring Agent10;305931;S3;F8;14283;Box;1945
Detroit;Coloring Agent10;305931;S3;F9;2354;Bag;2354
Detroit;Coloring Agent10;305931;S4;F1;4768;Bag;3280
Detroit;Coloring Agent10;305931;S4;F1;4768;Box;1488
Detroit;Coloring Agent10;305931;S4;F10;15815;Bag;15815
Detroit;Coloring Agent10;305931;S4;F2;1835;Bag;1835
Detroit;Coloring Agent10;305931;S4;F3;5199;Bag;1584
Detroit;Coloring Agent10;305931;S4;F3;5199;Box;3615
Detroit;Coloring Agent10;305931;S4;F4;3426;Bag;3426
Detroit;Coloring Agent10;305931;S4;F5;3905;Bag;3905
Detroit;Coloring Agent10;305931;S4;F6;12757;Bag;11249
Detroit;Coloring Agent10;305931;S4;F6;12757;Box;1508
Detroit;Coloring Agent10;305931;S4;F7;4645;Bag;4645
Detroit;Coloring Agent10;305931;S4;F8;10690;Bag;10690
Detroit;Coloring Agent10;305931;S4;F9;3870;Box;3870
Detroit;Coloring Agent10;305931;S5;F1;1280;Box;1280
Detroit;Coloring Agent10;305931;S5;F10;7216;Bag;7216
Detroit;Coloring Agent10;305931;S5;F11;2810;Bag;2810
Detroit;Coloring Agent10;305931;S5;F2;2992;Bag;1504
Detroit;Coloring Agent10;305931;S5;F2;2992;Box;1488
Detroit;Coloring Agent10;305931;S5;F3;5025;Bag;1636
Detroit;Coloring Agent10;305931;S5;F3;5025;Box;3389
Detroit;Coloring Agent10;305931;S5;F4;1596;Bag;1596
Detroit;Coloring Agent10;305931;S5;F5;6098;Bag;4496
Detroit;Coloring Agent10;305931;S5;F5;6098;Box;1602
Detroit;Coloring Agent10;305931;S5;F6;1639;Bag;1639
Detroit;Coloring Agent10;305931;S5;F7;1920;Bag;1920
Detroit;Coloring Agent10;305931;S5;F8;2999;Bag;2999
Detroit;Coloring Agent10;305931;S5;F9;1475;Bag;1475
Detroit;Coloring Agent11;575848;S1;F1;5344;Bag;5344
Detroit;Coloring Agent11;575848;S1;F10;2340;Bag;2340
Detroit;Coloring Agent11;575848;S1;F11;7857;Bag;3859
Detroit;Coloring Agent11;575848;S1;F11;7857;Box;3998
Detroit;Coloring Agent11;575848;S1;F12;14736;Bag;12646
Detroit;Coloring Agent11;575848;S1;F12;14736;Box;2090
Detroit;Coloring Agent11;575848;S1;F2;1437;Bag;1437
Detroit;Coloring Agent11;575848;S1;F3;5267;Bag;3675
Detroit;Coloring Agent11;575848;S1;F3;5267;Box;1592
Detroit;Coloring Agent11;575848;S1;F4;8551;Bag;4624
Detroit;Coloring Agent11;575848;S1;F4;8551;Box;3927
Detroit;Coloring Agent11;575848;S1;F5;5359;Bag;1879
Detroit;Coloring Agent11;575848;S1;F5;5359;Box;3480
Detroit;Coloring Agent11;575848;S1;F6;3205;Bag;3205
Detroit;Coloring Agent11;575848;S1;F7;20489;Bag;18529
Detroit;Coloring Agent11;575848;S1;F7;20489;Box;1960
Detroit;Coloring Agent11;575848;S1;F8;8733;Bag;8733
Detroit;Coloring Agent11;575848;S1;F9;13165;Bag;13165
Detroit;Coloring Agent11;575848;S2;F1;7989;Bag;6301
Detroit;Coloring Agent11;575848;S2;F1;7989;Box;1688
Detroit;Coloring Agent11;575848;S2;F10;1514;Bag;1514
Detroit;Coloring Agent11;575848;S2;F11;5720;Bag;2082
Detroit;Coloring Agent11;575848;S2;F11;5720;Box;3638
Detroit;Coloring Agent11;575848;S2;F12;14057;Bag;14057
Detroit;Coloring Agent11;575848;S2;F2;4455;Bag;2030
Detroit;Coloring Agent11;575848;S2;F2;4455;Box;2425
Detroit;Coloring Agent11;575848;S2;F3;3264;Bag;1734
Detroit;Coloring Agent11;575848;S2;F3;3264;Box;1530
Detroit;Coloring Agent11;575848;S2;F4;2085;Bag;2085
Detroit;Coloring Agent11;575848;S2;F5;3442;Bag;3442
Detroit;Coloring Agent11;575848;S2;F6;11962;Bag;8607
Detroit;Coloring Agent11;575848;S2;F6;11962;Box;3355
Detroit;Coloring Agent11;575848;S2;F7;24469;Bag;22544
Detroit;Coloring Agent11;575848;S2;F7;24469;Box;1925
Detroit;Coloring Agent11;575848;S2;F8;14797;Bag;12467
Detroit;Coloring Agent11;575848;S2;F8;14797;Box;2330
Detroit;Coloring Agent11;575848;S2;F9;14080;Bag;14080
Detroit;Coloring Agent11;575848;S3;F1;6866;Bag;6866
Detroit;Coloring Agent11;575848;S3;F10;4396;Bag;2191
Detroit;Coloring Agent11;575848;S3;F10;4396;Box;2205
Detroit;Coloring Agent11;575848;S3;F12;8617;Bag;5837
Detroit;Coloring Agent11;575848;S3;F12;8617;Box;2780
Detroit;Coloring Agent11;575848;S3;F2;3724;Bag;1386
Detroit;Coloring Agent11;575848;S3;F2;3724;Box;2338
Detroit;Coloring Agent11;575848;S3;F3;3895;Bag;3895
Detroit;Coloring Agent11;575848;S3;F4;1769;Bag;1769
Detroit;Coloring Agent11;575848;S3;F5;4755;Bag;2723
Detroit;Coloring Agent11;575848;S3;F5;4755;Box;2032
Detroit;Coloring Agent11;575848;S3;F6;3866;Bag;3866
Detroit;Coloring Agent11;575848;S3;F7;9603;Bag;5327
Detroit;Coloring Agent11;575848;S3;F7;9603;Box;4276
Detroit;Coloring Agent11;575848;S3;F8;3406;Bag;3406
Detroit;Coloring Agent11;575848;S3;F9;5865;Bag;5865
Detroit;Coloring Agent11;575848;S4;F1;14963;Bag;6234
Detroit;Coloring Agent11;575848;S4;F1;14963;Box;8729
Detroit;Coloring Agent11;575848;S4;F10;3789;Bag;1629
Detroit;Coloring Agent11;575848;S4;F10;3789;Box;2160
Detroit;Coloring Agent11;575848;S4;F11;8932;Bag;8932
Detroit;Coloring Agent11;575848;S4;F12;29288;Bag;27018
Detroit;Coloring Agent11;575848;S4;F12;29288;Box;2270
Detroit;Coloring Agent11;575848;S4;F2;22681;Bag;21531
Detroit;Coloring Agent11;575848;S4;F2;22681;Box;1150
Detroit;Coloring Agent11;575848;S4;F3;13839;Bag;13669
Detroit;Coloring Agent11;575848;S4;F3;13839;Box;170
Detroit;Coloring Agent11;575848;S4;F4;10544;Bag;10544
Detroit;Coloring Agent11;575848;S4;F5;15050;Bag;15050
Detroit;Coloring Agent11;575848;S4;F6;15955;Bag;13590
Detroit;Coloring Agent11;575848;S4;F6;15955;Box;2365
Detroit;Coloring Agent11;575848;S4;F7;40290;Bag;36872
Detroit;Coloring Agent11;575848;S4;F7;40290;Box;3418
Detroit;Coloring Agent11;575848;S4;F8;17068;Bag;17068
Detroit;Coloring Agent11;575848;S4;F9;20210;Bag;20210
Detroit;Coloring Agent11;575848;S5;F1;7299;Bag;7299
Detroit;Coloring Agent11;575848;S5;F10;7227;Bag;5627
Detroit;Coloring Agent11;575848;S5;F10;7227;Box;1600
Detroit;Coloring Agent11;575848;S5;F11;3849;Bag;2124
Detroit;Coloring Agent11;575848;S5;F11;3849;Box;1725
Detroit;Coloring Agent11;575848;S5;F12;17767;Bag;15999
Detroit;Coloring Agent11;575848;S5;F12;17767;Box;1768
Detroit;Coloring Agent11;575848;S5;F2;8329;Bag;6861
Detroit;Coloring Agent11;575848;S5;F2;8329;Box;1468
Detroit;Coloring Agent11;575848;S5;F4;5875;Bag;1599
Detroit;Coloring Agent11;575848;S5;F4;5875;Box;4276
Detroit;Coloring Agent11;575848;S5;F5;2919;Bag;1424
Detroit;Coloring Agent11;575848;S5;F5;2919;Box;1495
Detroit;Coloring Agent11;575848;S5;F6;1503;Bag;1503
Detroit;Coloring Agent11;575848;S5;F7;21627;Bag;20272
Detroit;Coloring Agent11;575848;S5;F7;21627;Box;1355
Detroit;Coloring Agent11;575848;S5;F8;13376;Bag;13376
Detroit;Coloring Agent11;575848;S5;F9;12389;Bag;12389
Detroit;Coloring Agent12;299964;S1;F1;4993;Bag;4090
Detroit;Coloring Agent12;299964;S1;F1;4993;Box;903
Detroit;Coloring Agent12;299964;S1;F10;3383;Box;3383
Detroit;Coloring Agent12;299964;S1;F11;6094;Bag;3942
Detroit;Coloring Agent12;299964;S1;F11;6094;Box;2152
Detroit;Coloring Agent12;299964;S1;F12;6341;Bag;3836
Detroit;Coloring Agent12;299964;S1;F12;6341;Box;2505
Detroit;Coloring Agent12;299964;S1;F3;3110;Bag;1790
Detroit;Coloring Agent12;299964;S1;F3;3110;Box;1320
Detroit;Coloring Agent12;299964;S1;F4;1225;Box;1225
Detroit;Coloring Agent12;299964;S1;F5;1725;Box;1725
Detroit;Coloring Agent12;299964;S1;F6;4632;Bag;3247
Detroit;Coloring Agent12;299964;S1;F6;4632;Box;1385
Detroit;Coloring Agent12;299964;S1;F7;1328;Box;1328
Detroit;Coloring Agent12;299964;S1;F8;15195;Bag;15195
Detroit;Coloring Agent12;299964;S1;F9;2962;Bag;2962
Detroit;Coloring Agent12;299964;S2;F1;11040;Bag;11040
Detroit;Coloring Agent12;299964;S2;F10;1766;Bag;1766
Detroit;Coloring Agent12;299964;S2;F11;1731;Bag;1731
Detroit;Coloring Agent12;299964;S2;F12;1680;Bag;1680
Detroit;Coloring Agent12;299964;S2;F2;1474;Bag;1474
Detroit;Coloring Agent12;299964;S2;F3;602;Bag;602
Detroit;Coloring Agent12;299964;S2;F4;4340;Bag;1205
Detroit;Coloring Agent12;299964;S2;F4;4340;Box;3135
Detroit;Coloring Agent12;299964;S2;F5;3810;Bag;3810
Detroit;Coloring Agent12;299964;S2;F7;6181;Bag;4696
Detroit;Coloring Agent12;299964;S2;F7;6181;Box;1485
Detroit;Coloring Agent12;299964;S2;F8;18841;Bag;17331
Detroit;Coloring Agent12;299964;S2;F8;18841;Box;1510
Detroit;Coloring Agent12;299964;S2;F9;2529;Bag;2529
Detroit;Coloring Agent12;299964;S3;F1;6274;Bag;6274
Detroit;Coloring Agent12;299964;S3;F10;1073;Bag;1073
Detroit;Coloring Agent12;299964;S3;F11;1676;Bag;1676
Detroit;Coloring Agent12;299964;S3;F12;4571;Bag;4571
Detroit;Coloring Agent12;299964;S3;F3;1881;Bag;1881
Detroit;Coloring Agent12;299964;S3;F4;4105;Bag;2870
Detroit;Coloring Agent12;299964;S3;F4;4105;Box;1235
Detroit;Coloring Agent12;299964;S3;F5;2964;Bag;1636
